# Z A Mass(u)
18 45 44.968039
19 45 44.960691
20 45 44.956186
21 45 44.955908
22 45 44.958121
23 45 44.965774
24 45 44.979050
25 45 44.994490
26 45 45.014419
15 46 46.024460
16 46 46.000040
17 46 45.985174
18 46 45.968082
19 46 45.961981
20 46 45.953689
21 46 45.955168
22 46 45.952627
23 46 45.960198
24 46 45.968358
25 46 45.986090
26 46 46.000630
15 47 47.031390
16 47 47.007950
17 47 46.989160
18 47 46.972934
19 47 46.961661
20 47 46.954542
21 47 46.952403
22 47 46.951758
23 47 46.954904
24 47 46.962897
25 47 46.975775
26 47 46.991850
27 47 47.010570
16 48 48.013700
17 48 47.995640
18 48 47.975910
19 48 47.965341
20 48 47.952522
21 48 47.952223
22 48 47.947941
23 48 47.952252
24 48 47.954029
25 48 47.968520
26 48 47.980230
27 48 48.000930
28 48 48.017688
16 49 49.022762
17 49 49.001230
18 49 48.981900
19 49 48.968210
20 49 48.955662
21 49 48.950014
22 49 48.947865
23 49 48.948511
24 49 48.951333
25 49 48.959595
26 49 48.973429
27 49 48.988910
28 49 49.007700
17 50 50.009050
18 50 49.986130
19 50 49.972380
20 50 49.957499
21 50 49.952176
22 50 49.944786
23 50 49.947156
24 50 49.946041
25 50 49.954237
26 50 49.962974
27 50 49.980910
28 50 49.994740
17 51 51.015540
18 51 50.993700
19 51 50.975828
20 51 50.960988
21 51 50.953591
22 51 50.946610
23 51 50.943957
24 51 50.944765
25 51 50.948208
26 51 50.956841
27 51 50.970647
28 51 50.986110
18 52 51.998960
19 52 51.982240
20 52 51.963217
21 52 51.956879
22 52 51.946893
23 52 51.944773
24 52 51.940506
25 52 51.945563
26 52 51.948113
27 52 51.963510
28 52 51.974800
29 52 51.996710
18 53 53.007290
19 53 52.987460
20 53 52.969450
21 53 52.959090
22 53 52.949725
23 53 52.944336
24 53 52.940648
25 53 52.941288
26 53 52.945306
27 53 52.954204
28 53 52.968190
29 53 52.984590
19 54 53.994630
20 54 53.973400
21 54 53.963930
22 54 53.951049
23 54 53.946438
24 54 53.938879
25 54 53.940357
26 54 53.939608
27 54 53.948459
28 54 53.957892
29 54 53.976660
30 54 53.992039
19 55 55.000760
20 55 54.980300
21 55 54.967818
22 55 54.955268
23 55 54.947242
24 55 54.940838
25 55 54.938043
26 55 54.938291
27 55 54.941997
28 55 54.951330
29 55 54.966038
30 55 54.983980
19 56 56.008510
20 56 55.985080
21 56 55.973450
22 56 55.957911
23 56 55.950484
24 56 55.940653
25 56 55.938903
26 56 55.934936
27 56 55.939838
28 56 55.942128
29 56 55.958950
30 56 55.972540
31 56 55.995360
20 57 56.992620
21 57 56.977770
22 57 56.963641
23 57 56.952518
24 57 56.943613
25 57 56.938286
26 57 56.935392
27 57 56.936290
28 57 56.939792
29 57 56.949212
30 57 56.965060
31 57 56.983200
20 58 57.997940
21 58 57.984030
22 58 57.966600
23 58 57.956715
24 58 57.944353
25 58 57.940066
26 58 57.933274
27 58 57.935752
28 58 57.935342
29 58 57.944533
30 58 57.954591
31 58 57.974780
32 58 57.991720
21 59 58.988940
22 59 58.972470
23 59 58.959385
24 59 58.948586
25 59 58.940391
26 59 58.934874
27 59 58.933194
28 59 58.934346
29 59 58.939497
30 59 58.949312
31 59 58.963530
32 59 58.982490
21 60 59.995650
22 60 59.976030
23 60 59.964313
24 60 59.950076
25 60 59.943136
26 60 59.934071
27 60 59.933816
28 60 59.930785
29 60 59.937364
30 60 59.941842
31 60 59.957290
32 60 59.970360
33 60 59.993880
21 61 61.001000
22 61 60.982450
23 61 60.967250
24 61 60.954422
25 61 60.944452
26 61 60.936746
27 61 60.932476
28 61 60.931055
29 61 60.933457
30 61 60.939507
31 61 60.949398
32 61 60.963790
33 61 60.981120
22 62 61.986510
23 62 61.972650
24 62 61.956097
25 62 61.947954
26 62 61.936791
27 62 61.934058
28 62 61.928345
29 62 61.932595
30 62 61.934333
31 62 61.944190
32 62 61.955020
33 62 61.973610
22 63 62.993750
23 63 62.976390
24 63 62.961650
25 63 62.949664
26 63 62.940272
27 63 62.933600
28 63 62.929669
29 63 62.929597
30 63 62.933211
31 63 62.939294
32 63 62.949628
33 63 62.963900
23 64 63.982640
24 64 63.964080
25 64 63.953849
26 64 63.940987
27 64 63.935810
28 64 63.927966
29 64 63.929764
30 64 63.929142
31 64 63.936840
32 64 63.941689
33 64 63.957432
34 64 63.971090
23 65 64.987500
24 65 64.969960
25 65 64.956019
26 65 64.945011
27 65 64.936462
28 65 64.930085
29 65 64.927789
30 65 64.929240
31 65 64.932734
32 65 64.939368
33 65 64.949611
34 65 64.964400
23 66 65.993980
24 66 65.973660
25 66 65.960546
26 66 65.946249
27 66 65.939442
28 66 65.929139
29 66 65.928869
30 66 65.926033
31 66 65.931589
32 66 65.933862
33 66 65.944148
34 66 65.955590
24 67 66.980160
25 67 66.964240
26 67 66.950543
27 67 66.940609
28 67 66.931569
29 67 66.927730
30 67 66.927127
31 67 66.928202
32 67 66.932733
33 67 66.939251
34 67 66.949994
35 67 66.964650
24 68 67.984030
25 68 67.969620
26 68 67.952951
27 68 67.944257
28 68 67.931868
29 68 67.929610
30 68 67.924844
31 68 67.927980
32 68 67.928095
33 68 67.936774
34 68 67.941825
35 68 67.958732
25 69 68.973660
26 69 68.958070
27 69 68.946141
28 69 68.935610
29 69 68.929429
30 69 68.926550
31 69 68.925573
32 69 68.927964
33 69 68.932246
34 69 68.939414
35 69 68.950497
36 69 68.965180
25 70 69.979370
26 70 69.961020
27 70 69.949630
28 70 69.936431
29 70 69.932392
30 70 69.925319
31 70 69.926021
32 70 69.924248
33 70 69.930926
34 70 69.933515
35 70 69.944792
36 70 69.956040
25 71 70.983680
26 71 70.966720
27 71 70.952366
28 71 70.940518
29 71 70.932676
30 71 70.927719
31 71 70.924702
32 71 70.924952
33 71 70.927113
34 71 70.932209
35 71 70.939342
36 71 70.950265
37 71 70.965320
26 72 71.969830
27 72 71.957290
28 72 71.941785
29 72 71.935820
30 72 71.926842
31 72 71.926367
32 72 71.922075
33 72 71.926752
34 72 71.927140
35 72 71.936588
36 72 71.942092
37 72 71.959080
26 73 72.975720
27 73 72.960390
28 73 72.946206
29 73 72.936674
30 73 72.929582
31 73 72.925174
32 73 72.923458
33 73 72.923829
34 73 72.926754
35 73 72.931671
36 73 72.939289
37 73 72.950529
38 73 72.965700
26 74 73.979350
27 74 73.965150
28 74 73.947980
29 74 73.939874
30 74 73.929407
31 74 73.926945
32 74 73.921177
33 74 73.923928
34 74 73.922475
35 74 73.929910
36 74 73.933084
37 74 73.944265
38 74 73.956170
27 75 74.968760
28 75 74.952500
29 75 74.941522
30 75 74.932840
31 75 74.926500
32 75 74.922858
33 75 74.921594
34 75 74.922522
35 75 74.925810
36 75 74.930945
37 75 74.938573
38 75 74.949952
27 76 75.974130
28 76 75.955330
29 76 75.945275
30 76 75.933114
31 76 75.928827
32 76 75.921402
33 76 75.922392
34 76 75.919213
35 76 75.924541
36 76 75.925910
37 76 75.935073
38 76 75.941762
39 76 75.958560
28 77 76.960550
29 77 76.947920
30 77 76.936887
31 77 76.929154
32 77 76.923549
33 77 76.920647
34 77 76.919914
35 77 76.921379
36 77 76.924670
37 77 76.930401
38 77 76.937945
39 77 76.949781
28 78 77.963360
29 78 77.952230
30 78 77.938289
31 78 77.931608
32 78 77.922852
33 78 77.921827
34 78 77.917309
35 78 77.921145
36 78 77.920364
37 78 77.928141
38 78 77.932179
39 78 77.943610
40 78 77.955660
28 79 78.970252
29 79 78.955020
30 79 78.942638
31 79 78.932852
32 79 78.925360
33 79 78.920948
34 79 78.918499
35 79 78.918337
36 79 78.920082
37 79 78.923989
38 79 78.929707
39 79 78.937351
40 79 78.949480
29 80 79.960890
30 80 79.944552
31 80 79.936420
32 80 79.925350
33 80 79.922474
34 80 79.916521
35 80 79.918529
36 80 79.916378
37 80 79.922516
38 80 79.924517
39 80 79.934356
40 80 79.940400
29 81 80.965872
30 81 80.950402
31 81 80.938133
32 81 80.928832
33 81 80.922132
34 81 80.917993
35 81 80.916289
36 81 80.916591
37 81 80.918993
38 81 80.923211
39 81 80.929455
40 81 80.937308
41 81 80.949600
29 82 81.972442
30 82 81.954260
31 82 81.943176
32 82 81.929774
33 82 81.924741
34 82 81.916699
35 82 81.916803
36 82 81.913482
37 82 81.918209
38 82 81.918399
39 82 81.926931
40 82 81.931354
41 82 81.943960
30 83 82.960560
31 83 82.947120
32 83 82.934539
33 83 82.925206
34 83 82.919118
35 83 82.915175
36 83 82.914127
37 83 82.915114
38 83 82.917554
39 83 82.922485
40 83 82.929242
41 83 82.937293
42 83 82.949880
30 84 83.965206
31 84 83.952460
32 84 83.937575
33 84 83.929303
34 84 83.918466
35 84 83.916496
36 84 83.911497
37 84 83.914375
38 84 83.913419
39 84 83.920672
40 84 83.923326
41 84 83.934492
42 84 83.941490
30 85 84.972260
31 85 84.956990
32 85 84.942969
33 85 84.932163
34 85 84.922260
35 85 84.915645
36 85 84.912527
37 85 84.911789
38 85 84.912932
39 85 84.916433
40 85 84.921444
41 85 84.928845
42 85 84.938260
43 85 84.950580
31 86 85.963010
32 86 85.946580
33 86 85.936701
34 86 85.924311
35 86 85.918805
36 86 85.910610
37 86 85.911167
38 86 85.909260
39 86 85.914885
40 86 85.916297
41 86 85.925782
42 86 85.931174
43 86 85.944930
31 87 86.968245
32 87 86.952680
33 87 86.940291
34 87 86.928688
35 87 86.920674
36 87 86.913354
37 87 86.909180
38 87 86.908877
39 87 86.910876
40 87 86.914817
41 87 86.920693
42 87 86.928196
43 87 86.938067
44 87 86.950690
32 88 87.956910
33 88 87.945550
34 88 87.931417
35 88 87.924083
36 88 87.914447
37 88 87.911315
38 88 87.905612
39 88 87.909501
40 88 87.910221
41 88 87.918221
42 88 87.921967
43 88 87.933782
44 88 87.941600
32 89 88.963790
33 89 88.949760
34 89 88.936669
35 89 88.926704
36 89 88.917835
37 89 88.912278
38 89 88.907451
39 89 88.905840
40 89 88.908881
41 89 88.913445
42 89 88.919468
43 89 88.927648
44 89 88.937620
45 89 88.950584
32 90 89.968630
33 90 89.955630
34 90 89.940096
35 90 89.931292
36 90 89.919527
37 90 89.914798
38 90 89.907730
39 90 89.907143
40 90 89.904697
41 90 89.911258
42 90 89.913930
43 90 89.924073
44 90 89.930344
45 90 89.944220
33 91 90.960390
34 91 90.945960
35 91 90.934398
36 91 90.923806
37 91 90.916537
38 91 90.910195
39 91 90.907297
40 91 90.905639
41 91 90.906989
42 91 90.911745
43 91 90.918425
44 91 90.926741
45 91 90.936880
46 91 90.950320
33 92 91.966740
34 92 91.949840
35 92 91.939631
36 92 91.926173
37 92 91.919728
38 92 91.911038
39 92 91.908945
40 92 91.905034
41 92 91.907188
42 92 91.906807
43 92 91.915269
44 92 91.920234
45 92 91.932367
46 92 91.940880
34 93 92.956290
35 93 92.943134
36 93 92.931147
37 93 92.922039
38 93 92.914024
39 93 92.909577
40 93 92.906469
41 93 92.906373
42 93 92.906809
43 93 92.910245
44 93 92.917104
45 93 92.925912
46 93 92.936511
47 93 92.950330
34 94 93.960490
35 94 93.948900
36 94 93.934140
37 94 93.926394
38 94 93.915355
39 94 93.911590
40 94 93.906310
41 94 93.907278
42 94 93.905084
43 94 93.909653
44 94 93.911342
45 94 93.921730
46 94 93.929037
47 94 93.943734
34 95 94.967300
35 95 94.953010
36 95 94.939710
37 95 94.929260
38 95 94.919352
39 95 94.912816
