# Z A Mass(u)
58 129 128.918102
59 129 128.925095
60 129 128.933102
61 129 128.943230
62 129 128.954760
47 130 129.950703
48 130 129.933940
49 130 129.924976
50 130 129.913973
51 130 129.911662
52 130 129.906222
53 130 129.906670
54 130 129.903509
55 130 129.906709
56 130 129.906320
57 130 129.912369
58 130 129.914736
59 130 129.923590
60 130 129.928506
61 130 129.940530
62 130 129.949000
63 130 129.963689
48 131 130.940600
49 131 130.926971
50 131 130.917044
51 131 130.911988
52 131 130.908522
53 131 130.906126
54 131 130.905084
55 131 130.905464
56 131 130.906940
57 131 130.910070
58 131 130.914429
59 131 130.920234
60 131 130.927248
61 131 130.935670
62 131 130.946180
63 131 130.957842
48 132 131.946040
49 132 131.933001
50 132 131.917826
51 132 131.914507
52 132 131.908546
53 132 131.907993
54 132 131.904155
55 132 131.906433
56 132 131.905061
57 132 131.910118
58 132 131.911463
59 132 131.919255
60 132 131.923321
61 132 131.933840
62 132 131.940870
63 132 131.954670
48 133 132.952850
49 133 132.938310
50 133 132.923913
51 133 132.915273
52 133 132.910968
53 133 132.907796
54 133 132.905910
55 133 132.905451
56 133 132.906007
57 133 132.908218
58 133 132.911520
59 133 132.916330
60 133 132.922348
61 133 132.929782
62 133 132.938560
63 133 132.949290
64 133 132.961330
49 134 133.944540
50 134 133.928682
51 134 133.920535
52 134 133.911393
53 134 133.909758
54 134 133.905394
55 134 133.906718
56 134 133.904508
57 134 133.908514
58 134 133.908928
59 134 133.915696
60 134 133.918790
61 134 133.928353
62 134 133.934110
63 134 133.946400
64 134 133.955660
49 135 134.950050
50 135 134.934908
51 135 134.925185
52 135 134.916555
53 135 134.910048
54 135 134.907227
55 135 134.905977
56 135 134.905688
57 135 134.906984
58 135 134.909160
59 135 134.913111
60 135 134.918181
61 135 134.924823
62 135 134.932520
63 135 134.941870
64 135 134.952450
65 135 134.964760
50 136 135.939990
51 136 135.930745
52 136 135.920100
53 136 135.914604
54 136 135.907214
55 136 135.907311
56 136 135.904575
57 136 135.907634
58 136 135.907129
59 136 135.912677
60 136 135.914976
61 136 135.923584
62 136 135.928275
63 136 135.939620
64 136 135.947300
65 136 135.961290
50 137 136.946550
51 137 136.935555
52 137 136.925598
53 137 136.918028
54 137 136.911557
55 137 136.907089
56 137 136.905827
57 137 136.906450
58 137 136.907762
59 137 136.910679
60 137 136.914562
61 137 136.920479
62 137 136.926970
63 137 136.935460
64 137 136.945020
65 137 136.956020
50 138 137.951840
51 138 137.941450
52 138 137.929472
53 138 137.922726
54 138 137.914146
55 138 137.911017
56 138 137.905246
57 138 137.907114
58 138 137.905991
59 138 137.910754
60 138 137.911949
61 138 137.919548
62 138 137.923243
63 138 137.933709
64 138 137.940250
65 138 137.953120
66 138 137.962500
51 139 138.946550
52 139 138.935367
53 139 138.926506
54 139 138.918792
55 139 138.913363
56 139 138.908841
57 139 138.906356
58 139 138.906655
59 139 138.908940
60 139 138.911953
61 139 138.916799
62 139 138.922296
63 139 138.929792
64 139 138.938130
65 139 138.948330
66 139 138.959590
51 140 139.952830
52 140 139.939498
53 140 139.931727
54 140 139.921645
55 140 139.917283
56 140 139.910605
57 140 139.909480
58 140 139.905443
59 140 139.909080
60 140 139.909549
61 140 139.916039
62 140 139.918994
63 140 139.928087
64 140 139.933674
65 140 139.945805
66 140 139.954020
67 140 139.968589
52 141 140.945800
53 141 140.935690
54 141 140.926787
55 141 140.920045
56 141 140.914403
57 141 140.910966
58 141 140.908280
59 141 140.907657
60 141 140.909614
61 141 140.913555
62 141 140.918481
63 141 140.924931
64 141 140.932126
65 141 140.941448
66 141 140.951280
67 141 140.963108
52 142 141.950220
53 142 141.941202
54 142 141.929973
55 142 141.924295
56 142 141.916432
57 142 141.914090
58 142 141.909250
59 142 141.910049
60 142 141.907728
61 142 141.912890
62 142 141.915204
63 142 141.923441
64 142 141.928116
65 142 141.939280
66 142 141.946194
67 142 141.960010
68 142 141.970100
52 143 142.956760
53 143 142.945650
54 143 142.935369
55 143 142.927349
56 143 142.920625
57 143 142.916079
58 143 142.912392
59 143 142.910822
60 143 142.909819
61 143 142.910938
62 143 142.914635
63 143 142.920298
64 143 142.926750
65 143 142.935137
66 143 142.943994
67 143 142.954860
68 143 142.966620
53 144 143.951390
54 144 143.938945
55 144 143.932076
56 144 143.922954
57 144 143.919645
58 144 143.913652
59 144 143.913310
60 144 143.910092
61 144 143.912596
62 144 143.912006
63 144 143.918819
64 144 143.922963
65 144 143.933045
66 144 143.939269
67 144 143.952109
68 144 143.960700
69 144 143.976283
53 145 144.956050
54 145 144.944719
55 145 144.935527
56 145 144.927518
57 145 144.921808
58 145 144.917265
59 145 144.914518
60 145 144.912579
61 145 144.912755
62 145 144.913417
63 145 144.916272
64 145 144.921712
65 145 144.928821
66 145 144.937473
67 145 144.947267
68 145 144.958050
69 145 144.970389
54 146 145.948518
55 146 145.940344
56 146 145.930283
57 146 145.925875
58 146 145.918802
59 146 145.917679
60 146 145.913122
61 146 145.914702
62 146 145.913046
63 146 145.917211
64 146 145.918318
65 146 145.927252
66 146 145.932844
67 146 145.944993
68 146 145.952418
69 146 145.966837
54 147 146.954260
55 147 146.944156
56 147 146.935303
57 147 146.928417
58 147 146.922689
59 147 146.919007
60 147 146.916106
61 147 146.915144
62 147 146.914904
63 147 146.916752
64 147 146.919101
65 147 146.924054
66 147 146.931082
67 147 146.940142
68 147 146.949964
69 147 146.961379
54 148 147.958130
55 148 147.949225
56 148 147.938170
57 148 147.932679
58 148 147.924424
59 148 147.922130
60 148 147.916899
61 148 147.917481
62 148 147.914829
63 148 147.918089
64 148 147.918121
65 148 147.924281
66 148 147.927156
67 148 147.937743
68 148 147.944735
69 148 147.958384
70 148 147.967580
55 149 148.953020
56 149 148.943080
57 149 148.935351
58 149 148.928426
59 149 148.923736
60 149 148.920154
61 149 148.918342
62 149 148.917192
63 149 148.917937
64 149 148.919348
65 149 148.923253
66 149 148.927321
67 149 148.933802
68 149 148.942306
69 149 148.952890
70 149 148.964360
55 150 149.958330
56 150 149.946050
57 150 149.939470
58 150 149.930384
59 150 149.926676
60 150 149.920902
61 150 149.920990
62 150 149.917282
63 150 149.919707
64 150 149.918664
65 150 149.923664
66 150 149.925593
67 150 149.933498
68 150 149.937915
69 150 149.950090
70 150 149.958520
71 150 149.973548
55 151 150.962580
56 151 150.951270
57 151 150.942320
58 151 150.934272
59 151 150.928309
60 151 150.923840
61 151 150.921217
62 151 150.919939
63 151 150.919857
64 151 150.920355
65 151 150.923109
66 151 150.926191
67 151 150.931698
68 151 150.937448
69 151 150.945487
70 151 150.955402
71 151 150.967677
56 152 151.954810
57 152 151.946820
58 152 151.936600
59 152 151.931552
60 152 151.924692
61 152 151.923506
62 152 151.919739
63 152 151.921752
64 152 151.919799
65 152 151.924082
66 152 151.924725
67 152 151.931723
68 152 151.935057
69 152 151.944422
70 152 151.950272
71 152 151.964120
56 153 152.960360
57 153 152.950360
58 153 152.940930
59 153 152.933903
60 153 152.927717
61 153 152.924156
62 153 152.922104
63 153 152.921238
64 153 152.921758
65 153 152.923442
66 153 152.925772
67 153 152.930206
68 153 152.935080
69 153 152.942040
70 153 152.949320
71 153 152.958751
72 153 152.970690
57 154 153.955170
58 154 153.943800
59 154 153.937525
60 154 153.929484
61 154 153.926471
62 154 153.922216
63 154 153.922986
64 154 153.920874
65 154 153.924684
66 154 153.924429
67 154 153.930606
68 154 153.932790
69 154 153.941570
70 154 153.946395
71 154 153.957364
72 154 153.964860
57 155 154.959010
58 155 154.948550
59 155 154.940509
60 155 154.933135
61 155 154.928137
62 155 154.924647
63 155 154.922901
64 155 154.922630
65 155 154.923510
66 155 154.925759
67 155 154.929104
68 155 154.933215
69 155 154.939209
70 155 154.945783
71 155 154.954320
72 155 154.963110
73 155 154.974245
58 156 155.951830
59 156 155.944640
60 156 155.935078
61 156 155.931117
62 156 155.925536
63 156 155.924760
64 156 155.922131
65 156 155.924755
66 156 155.924284
67 156 155.929706
68 156 155.931067
69 156 155.938991
70 156 155.942824
71 156 155.953032
72 156 155.959347
73 156 155.972030
58 157 156.957050
59 157 156.947890
60 157 156.939386
61 157 156.933121
62 157 156.928418
63 157 156.925433
64 157 156.923968
65 157 156.924033
66 157 156.925470
67 157 156.928254
68 157 156.931948
69 157 156.936944
70 157 156.942645
71 157 156.950126
72 157 156.958236
73 157 156.968176
74 157 156.978840
59 158 157.952410
60 158 157.941970
61 158 157.936565
62 158 157.929951
63 158 157.927798
64 158 157.924112
65 158 157.925420
66 158 157.924415
67 158 157.928945
68 158 157.929893
69 158 157.936979
70 158 157.939870
71 158 157.949315
72 158 157.954801
73 158 157.966541
74 158 157.974562
59 159 158.955890
60 159 158.946530
61 159 158.939286
62 159 158.933217
63 159 158.929100
64 159 158.926396
65 159 158.925354
66 159 158.925746
67 159 158.927719
68 159 158.930691
69 159 158.934975
70 159 158.940054
71 159 158.946635
72 159 158.953995
73 159 158.963022
74 159 158.972638
75 159 158.984179
60 160 159.949400
61 160 159.943100
62 160 159.935335
63 160 159.931850
64 160 159.927062
65 160 159.927175
66 160 159.925204
67 160 159.928736
68 160 159.929077
69 160 159.935263
70 160 159.937557
71 160 159.946033
72 160 159.950690
73 160 159.961487
74 160 159.968462
75 160 159.981823
60 161 160.954280
61 161 160.946070
62 161 160.939160
63 161 160.933664
64 161 160.929677
65 161 160.927577
66 161 160.926940
67 161 160.927861
68 161 160.930004
69 161 160.933549
70 161 160.937907
71 161 160.943572
72 161 160.950278
73 161 160.958452
74 161 160.967197
75 161 160.977572
76 161 160.989029
61 162 161.950220
62 162 161.941460
63 162 161.936988
64 162 161.930993
65 162 161.929495
66 162 161.926805
67 162 161.929102
68 162 161.928788
69 162 161.934002
70 162 161.935773
71 162 161.943282
72 162 161.947214
73 162 161.957294
74 162 161.963499
75 162 161.975844
76 162 161.984431
61 163 162.953570
62 163 162.945550
63 163 162.939195
64 163 162.934176
65 163 162.930654
66 163 162.928738
67 163 162.928741
68 163 162.930040
69 163 162.932659
70 163 162.936339
71 163 162.941179
72 163 162.947112
73 163 162.954337
74 163 162.962524
75 163 162.972079
76 163 162.982410
62 164 163.948360
63 164 163.942744
64 164 163.935830
65 164 163.933357
66 164 163.929181
67 164 163.930240
68 164 163.929208
69 164 163.933543
70 164 163.934494
71 164 163.941339
72 164 163.944370
73 164 163.953534
74 164 163.958960
75 164 163.970452
76 164 163.978021
77 164 163.991909
62 165 164.952970
63 165 164.945587
64 165 164.939360
65 165 164.934980
66 165 164.931710
67 165 164.930328
68 165 164.930734
69 165 164.932443
70 165 164.935270
71 165 164.939406
72 165 164.944567
73 165 164.950780
74 165 164.958280
75 165 164.967102
76 165 164.976602
77 165 164.987501
63 166 165.949620
64 166 165.941460
65 166 165.937859
66 166 165.932813
67 166 165.932290
68 166 165.930299
69 166 165.933560
70 166 165.933874
71 166 165.939859
72 166 165.942180
73 166 165.950512
74 166 165.955031
75 166 165.965760
76 166 165.972692
77 166 165.985664
78 166 165.994855
63 167 166.952890
64 167 166.945450
65 167 166.939960
66 167 166.935661
67 167 166.933138
68 167 166.932054
69 167 166.932856
70 167 166.934952
71 167 166.938270
72 167 166.942600
73 167 166.948093
74 167 166.954804
75 167 166.962595
76 167 166.971548
77 167 166.981666
78 167 166.992695
64 168 167.948080
65 168 167.943400
66 168 167.937133
67 168 167.935522
68 168 167.932376
69 168 167.934177
70 168 167.933889
71 168 167.938735
72 168 167.940568
73 168 167.948047
74 168 167.951805
75 168 167.961572
76 168 167.967807
77 168 167.979906
78 168 167.988128
64 169 168.952600
65 169 168.945970
66 169 168.940313
67 169 168.936878
68 169 168.934596
69 169 168.934217
70 169 168.935182
71 169 168.937644
72 169 168.941259
73 169 168.946011
74 169 168.951778
75 169 168.958766
76 169 168.967017
77 169 168.976298
78 169 168.986567
79 169 168.998080
65 170 169.949840
66 170 169.942390
67 170 169.939624
68 170 169.935470
69 170 169.935806
70 170 169.934766
71 170 169.938478
72 170 169.939609
73 170 169.946175
74 170 169.949231
75 170 169.958220
76 170 169.963578
77 170 169.974922
78 170 169.982496
79 170 169.995972
65 171 170.952730
66 171 170.946120
67 171 170.941471
68 171 170.938035
69 171 170.936433
70 171 170.936330
71 171 170.937916
72 171 170.940492
73 171 170.944476
74 171 170.949451
75 171 170.955716
76 171 170.963173
77 171 170.971640
78 171 170.981245
79 171 170.991875
80 171 171.003529
66 172 171.948460
67 172 171.944730
68 172 171.939361
69 172 171.938405
70 172 171.936385
71 172 171.939089
72 172 171.939449
73 172 171.944895
74 172 171.947292
75 172 171.955419
76 172 171.960017
77 172 171.970607
78 172 171.977350
79 172 171.989942
80 172 171.998808
66 173 172.952830
67 173 172.947020
68 173 172.942400
69 173 172.939608
70 173 172.938215
71 173 172.938934
72 173 172.940513
73 173 172.943750
74 173 172.947689
75 173 172.953243
76 173 172.959808
77 173 172.967505
78 173 172.976443
79 173 172.986240
80 173 172.997091
67 174 173.950950
68 174 173.944230
69 174 173.942172
70 174 173.938866
71 174 173.940340
72 174 173.940046
73 174 173.944454
74 174 173.946079
75 174 173.953115
76 174 173.957063
77 174 173.966861
78 174 173.972819
79 174 173.984717
80 174 173.992864
67 175 174.953620
68 175 174.947770
69 175 174.943841
70 175 174.941280
71 175 174.940775
72 175 174.941509
73 175 174.943737
74 175 174.946717
75 175 174.951381
76 175 174.956945
77 175 174.964149
78 175 174.972409
79 175 174.981303
80 175 174.991440
68 176 175.949940
69 176 175.946999
70 176 175.942576
71 176 175.942689
72 176 175.941407
73 176 175.944857
74 176 175.945634
75 176 175.951623
76 176 175.954806
77 176 175.963650
78 176 175.968938
79 176 175.980250
80 176 175.987360
81 176 176.000624
68 177 176.953990
69 177 176.949040
70 177 176.945265
71 177 176.943761
72 177 176.943227
73 177 176.944479
74 177 176.946643
75 177 176.950328
76 177 176.954965
77 177 176.961301
78 177 176.968469
79 177 176.976870
80 177 176.986277
81 177 176.996430
69 178 177.952640
70 178 177.946651
71 178 177.945958
72 178 177.943705
73 178 177.945678
74 178 177.945883
75 178 177.950989
76 178 177.953253
77 178 177.961082
78 178 177.965649
79 178 177.976031
80 178 177.982483
81 178 177.994854
82 178 178.003831
69 179 178.955340
70 179 178.950040
71 179 178.947330
72 179 178.945823
73 179 178.945936
74 179 178.947077
75 179 178.949989
76 179 178.953816
77 179 178.959120
78 179 178.965358
79 179 178.973173
80 179 178.981831
81 179 178.991110
82 179 179.002201
70 180 179.952120
71 180 179.949888
72 180 179.946557
73 180 179.947464
74 180 179.946710
75 180 179.950791
76 180 179.952375
77 180 179.959229
78 180 179.963031
79 180 179.972523
80 180 179.978260
81 180 179.990056
82 180 179.997928
70 181 180.955890
71 181 180.951908
72 181 180.949108
73 181 180.947995
74 181 180.948197
75 181 180.950057
76 181 180.953247
77 181 180.957625
78 181 180.963097
79 181 180.970079
80 181 180.977819
81 181 180.986259
82 181 180.996653
71 182 181.955040
72 182 181.950561
73 182 181.950151
74 182 181.948203
75 182 181.951209
76 182 181.952110
77 182 181.958076
78 182 181.961171
79 182 181.969617
80 182 181.974689
81 182 181.985713
82 182 181.992672
71 183 182.957363
72 183 182.953530
73 183 182.951372
74 183 182.950222
75 183 182.950819
76 183 182.953124
77 183 182.956839
78 183 182.961596
79 183 182.967590
80 183 182.974444
81 183 182.982192
82 183 182.991872
71 184 183.960910
72 184 183.955446
73 184 183.954007
74 184 183.950930
75 184 183.952522
76 184 183.952488
77 184 183.957476
78 184 183.959915
79 184 183.967451
80 184 183.971713
81 184 183.981885
82 184 183.988135
83 184 184.001274
71 185 184.963620
72 185 184.958862
73 185 184.955559
74 185 184.953418
75 185 184.952954
76 185 184.954041
77 185 184.956698
78 185 184.960613
79 185 184.965789
80 185 184.971899
81 185 184.978789
82 185 184.987610
83 185 184.997600
72 186 185.960897
73 186 185.958550
74 186 185.954362
75 186 185.954985
76 186 185.953835
77 186 185.957944
78 186 185.959350
79 186 185.965952
80 186 185.969362
81 186 185.978650
82 186 185.984238
83 186 185.996643
84 186 186.004393
72 187 186.964770
73 187 186.960386
74 187 186.957158
75 187 186.955750
76 187 186.955747
77 187 186.957542
78 187 186.960616
79 187 186.964543
80 187 186.969814
81 187 186.975906
82 187 186.983910
83 187 186.993147
84 187 187.003041
72 188 187.966850
73 188 187.963916
74 188 187.958486
75 188 187.958111
76 188 187.955835
77 188 187.958828
78 188 187.959388
79 188 187.965349
80 188 187.967566
81 188 187.976020
82 188 187.980874
83 188 187.992286
84 188 187.999415
72 189 188.970840
73 189 188.965830
74 189 188.961763
75 189 188.959226
76 189 188.958144
77 189 188.958715
78 189 188.960831
79 189 188.963948
80 189 188.968194
81 189 188.973588
82 189 188.980807
83 189 188.989194
84 189 188.998473
73 190 189.969390
74 190 189.963090
75 190 189.961744
76 190 189.958443
77 190 189.960541
78 190 189.959929
79 190 189.964698
80 190 189.966322
81 190 189.973828
82 190 189.978081
83 190 189.988621
84 190 189.995100
73 191 190.971560
74 191 190.966531
75 191 190.963121
76 191 190.960926
77 191 190.960589
78 191 190.961672
79 191 190.963702
80 191 190.967157
81 191 190.971784
82 191 190.978276
83 191 190.985786
84 191 190.994558
85 191 191.004147
73 192 191.975140
74 192 191.968170
75 192 191.966088
76 192 191.961476
77 192 191.962600
78 192 191.961038
79 192 191.964813
80 192 191.965634
81 192 191.972225
82 192 191.975775
83 192 191.985469
84 192 191.991335
85 192 192.003151
74 193 192.971780
75 193 192.967541
76 193 192.964147
77 193 192.962921
78 193 192.962982
79 193 192.964137
80 193 192.966652
81 193 192.970501
82 193 192.976173
83 193 192.982959
84 193 192.991025
85 193 192.999927
86 193 193.009707
74 194 193.973670
75 194 193.970760
76 194 193.965177
77 194 193.965073
78 194 193.962680
79 194 193.965417
80 194 193.965449
81 194 193.971081
82 194 193.974012
83 194 193.982785
84 194 193.988186
85 194 193.999236
86 194 194.006144
75 195 194.972540
76 195 194.968318
77 195 194.965974
78 195 194.964791
79 195 194.965035
80 195 194.966720
81 195 194.969774
82 195 194.974542
83 195 194.980648
84 195 194.988125
85 195 194.996268
86 195 195.005421
75 196 195.975800
76 196 195.969641
77 196 195.968397
78 196 195.964952
79 196 195.966569
80 196 195.965832
81 196 195.970481
82 196 195.972774
83 196 195.980666
84 196 195.985525
85 196 195.995799
86 196 196.002115
75 197 196.977990
76 197 196.972830
77 197 196.969655
78 197 196.967340
79 197 196.966568
80 197 196.967212
81 197 196.969575
82 197 196.973431
83 197 196.978865
84 197 196.985659
85 197 196.993189
86 197 197.001584
75 198 197.981600
76 198 197.974410
77 198 197.972280
78 198 197.967894
79 198 197.968242
80 198 197.966768
81 198 197.970483
82 198 197.972034
83 198 197.979206
84 198 197.983389
85 198 197.992784
86 198 197.998679
76 199 198.978010
77 199 198.973805
78 199 198.970595
79 199 198.968765
80 199 198.968280
81 199 198.969877
82 199 198.972912
83 199 198.977673
84 199 198.983667
85 199 198.990527
86 199 198.998389
87 199 199.007258
76 200 199.979840
77 200 199.976800
78 200 199.971442
79 200 199.970756
80 200 199.968326
81 200 199.970963
82 200 199.971818
83 200 199.978131
84 200 199.981798
85 200 199.990351
86 200 199.995690
87 200 200.006586
76 201 200.983640
77 201 200.978640
78 201 200.974513
79 201 200.971657
80 201 200.970302
81 201 200.970822
82 201 200.972882
83 201 200.977010
84 201 200.982259
85 201 200.988417
86 201 200.995628
87 201 201.003866
88 201 201.012712
76 202 201.985950
77 202 201.981990
78 202 201.975639
79 202 201.973856
80 202 201.970643
81 202 201.972102
82 202 201.972152
83 202 201.977733
84 202 201.980757
85 202 201.988630
86 202 201.993264
87 202 202.003320
88 202 202.009759
77 203 202.984230
78 203 202.978930
79 203 202.975154
80 203 202.972872
81 203 202.972344
82 203 202.973391
83 203 202.976892
84 203 202.981416
85 203 202.986942
86 203 202.993387
87 203 203.000940
88 203 203.009304
77 204 203.989600
78 204 203.980760
79 204 203.977831
80 204 203.973493
81 204 203.973863
82 204 203.973043
83 204 203.977836
84 204 203.980310
85 204 203.987251
86 204 203.991429
87 204 204.000652
88 204 204.006491
78 205 204.986080
79 205 204.979850
80 205 204.976073
81 205 204.974427
82 205 204.974482
83 205 204.977386
84 205 204.981203
85 205 204.986075
86 205 204.991718
87 205 204.998593
88 205 205.006268
78 206 205.989660
79 206 205.984740
80 206 205.977514
81 206 205.976110
82 206 205.974465
83 206 205.978499
84 206 205.980473
85 206 205.986656
86 206 205.990214
87 206 205.998666
88 206 206.003828
89 206 206.014452
79 207 206.988400
80 207 206.982300
81 207 206.977419
82 207 206.975897
83 207 206.978471
84 207 206.981593
85 207 206.985800
86 207 206.990730
87 207 206.996946
88 207 207.003799
89 207 207.011965
79 208 207.993450
80 208 207.985759
81 208 207.982019
82 208 207.976652
83 208 207.979742
84 208 207.981246
85 208 207.986613
86 208 207.989634
87 208 207.997138
88 208 208.001841
89 208 208.011550
90 208 208.017900
79 209 208.997350
80 209 208.990720
81 209 208.985359
82 209 208.981090
83 209 208.980399
84 209 208.982430
85 209 208.986170
86 209 208.990414
87 209 208.995954
88 209 209.001990
89 209 209.009494
90 209 209.017752
79 210 210.002500
80 210 209.994240
81 210 209.990073
82 210 209.984188
83 210 209.984120
84 210 209.982874
85 210 209.987147
86 210 209.989689
87 210 209.996422
88 210 210.000494
89 210 210.009436
90 210 210.015093
80 211 210.999330
81 211 210.993475
82 211 210.988737
83 211 210.987269
84 211 210.986653
85 211 210.987496
86 211 210.990601
87 211 210.995555
88 211 211.000893
89 211 211.007731
90 211 211.014929
80 212 212.002960
81 212 211.998335
82 212 211.991897
83 212 211.991286
84 212 211.988868
85 212 211.990737
86 212 211.990703
87 212 211.996225
88 212 211.999786
89 212 212.007813
90 212 212.012987
91 212 212.023202
80 213 213.008230
81 213 213.001915
82 213 212.996562
83 213 212.994385
84 213 212.992857
85 213 212.992936
86 213 212.993883
87 213 212.996186
88 213 213.000384
89 213 213.006609
90 213 213.013009
91 213 213.021109
80 214 214.012000
81 214 214.006940
82 214 213.999805
83 214 213.998711
84 214 213.995201
85 214 213.996372
86 214 213.995362
87 214 213.998971
88 214 214.000099
89 214 214.006918
90 214 214.011500
91 214 214.020918
80 215 215.017400
81 215 215.010640
82 215 215.004741
83 215 215.001769
84 215 214.999420
85 215 214.998652
86 215 214.998745
87 215 215.000341
88 215 215.002720
89 215 215.006474
90 215 215.011724
91 215 215.019182
80 216 216.021320
81 216 216.015800
82 216 216.008030
83 216 216.006305
84 216 216.001915
85 216 216.002423
86 216 216.000271
87 216 216.003189
88 216 216.003533
89 216 216.008743
90 216 216.011056
91 216 216.019108
81 217 217.019660
82 217 217.013140
83 217 217.009372
84 217 217.006318
85 217 217.004719
86 217 217.003928
87 217 217.004632
88 217 217.006320
89 217 217.009343
90 217 217.013116
91 217 217.018325
92 217 217.024661
81 218 218.024790
82 218 218.016590
83 218 218.014188
84 218 218.008973
85 218 218.008694
86 218 218.005601
87 218 218.007578
88 218 218.007140
89 218 218.011641
90 218 218.013276
91 218 218.020058
92 218 218.023523
82 219 219.021770
83 219 219.017480
84 219 219.013614
85 219 219.011161
86 219 219.009480
87 219 219.009252
88 219 219.010085
89 219 219.012420
90 219 219.015537
91 219 219.019904
92 219 219.024999
93 219 219.031430
82 220 220.025410
83 220 220.022350
84 220 220.016386
85 220 220.015433
86 220 220.011394
87 220 220.012327
88 220 220.011025
89 220 220.014754
90 220 220.015748
91 220 220.021705
92 220 220.024620
93 220 220.032540
83 221 221.025870
84 221 221.021228
85 221 221.018017
86 221 221.015537
87 221 221.014255
88 221 221.013917
89 221 221.015591
90 221 221.018184
91 221 221.021874
92 221 221.026284
93 221 221.032040
83 222 222.030780
84 222 222.024140
85 222 222.022494
86 222 222.017578
87 222 222.017552
88 222 222.015374
89 222 222.017844
90 222 222.018468
91 222 222.023784
92 222 222.026003
93 222 222.033300
83 223 223.034500
84 223 223.029070
85 223 223.025151
86 223 223.021889
87 223 223.019736
88 223 223.018502
89 223 223.019137
90 223 223.020811
91 223 223.023962
92 223 223.027739
93 223 223.032850
83 224 224.039470
84 224 224.032110
85 224 224.029749
86 224 224.024095
87 224 224.023398
88 224 224.020211
89 224 224.021723
90 224 224.021464
91 224 224.025617
92 224 224.027605
93 224 224.034220
84 225 225.037070
85 225 225.032630
86 225 225.028485
87 225 225.025572
88 225 225.023611
89 225 225.023229
90 225 225.023951
91 225 225.026131
92 225 225.029391
93 225 225.033910
84 226 226.040310
85 226 226.037160
86 226 226.030861
87 226 226.029566
88 226 226.025410
89 226 226.026098
90 226 226.024903
91 226 226.027948
92 226 226.029339
93 226 226.035188
84 227 227.045390
85 227 227.040240
86 227 227.035304
87 227 227.031869
88 227 227.029178
89 227 227.027752
90 227 227.027704
91 227 227.028805
92 227 227.031156
93 227 227.034957
85 228 228.044750
86 228 228.037835
87 228 228.035823
88 228 228.031070
89 228 228.031021
90 228 228.028741
91 228 228.031051
92 228 228.031371
93 228 228.036066
94 228 228.038732
85 229 229.048120
86 229 229.042257
87 229 229.038298
88 229 229.034942
89 229 229.032955
90 229 229.031762
91 229 229.032097
92 229 229.033506
93 229 229.036264
94 229 229.040143
86 230 230.045140
87 230 230.042416
88 230 230.037054
89 230 230.036327
90 230 230.033134
91 230 230.034541
92 230 230.033940
93 230 230.037827
94 230 230.039650
95 230 230.046090
86 231 231.049870
87 231 231.045158
88 231 231.041027
89 231 231.038393
90 231 231.036304
91 231 231.035884
92 231 231.036293
93 231 231.038245
94 231 231.041101
95 231 231.045560
87 232 232.049368
88 232 232.043475
89 232 232.042034
90 232 232.038055
91 232 232.038591
92 232 232.037156
93 232 232.040109
94 232 232.041184
95 232 232.046450
96 232 232.049817
87 233 233.052640
88 233 233.047582
89 233 233.044346
90 233 233.041582
91 233 233.040247
92 233 233.039635
93 233 233.040740
94 233 233.042997
95 233 233.046445
96 233 233.050770
88 234 234.050342
89 234 234.048139
90 234 234.043601
91 234 234.043307
92 234 234.040952
93 234 234.042895
94 234 234.043317
95 234 234.047731
96 234 234.050160
97 234 234.057267
88 235 235.054970
89 235 235.050840
90 235 235.047255
91 235 235.045399
92 235 235.043930
93 235 235.044063
94 235 235.045286
95 235 235.047908
96 235 235.051542
97 235 235.056580
89 236 236.054988
90 236 236.049657
91 236 236.048668
92 236 236.045568
93 236 236.046569
94 236 236.046058
95 236 236.049428
96 236 236.051374
97 236 236.057480
89 237 237.058270
90 237 237.053629
91 237 237.051023
92 237 237.048730
93 237 237.048173
94 237 237.048409
95 237 237.049996
96 237 237.052869
97 237 237.057100
98 237 237.062197
90 238 238.056496
91 238 238.054637
92 238 238.050788
93 238 238.050946
94 238 238.049560
95 238 238.051984
96 238 238.053081
97 238 238.058204
98 238 238.061490
90 239 239.060770
91 239 239.057260
92 239 239.054293
93 239 239.052939
94 239 239.052163
95 239 239.053024
96 239 239.054910
97 239 239.058241
98 239 239.062529
99 239 239.068230
91 240 240.060980
92 240 240.056593
93 240 240.056165
94 240 240.053813
95 240 240.055300
96 240 240.055529
97 240 240.059759
98 240 240.062255
99 240 240.068920
91 241 241.064080
92 241 241.060330
93 241 241.058252
94 241 241.056851
95 241 241.056829
96 241 241.057653
97 241 241.060155
98 241 241.063690
99 241 241.068560
100 241 241.074210
92 242 242.062932
93 242 242.061641
94 242 242.058742
95 242 242.059549
96 242 242.058836
97 242 242.061982
98 242 242.063754
99 242 242.069567
100 242 242.073430
92 243 243.066990
93 243 243.064280
94 243 243.062003
95 243 243.061381
96 243 243.061389
97 243 243.063007
98 243 243.065477
99 243 243.069510
100 243 243.074465
93 244 244.067850
94 244 244.064205
95 244 244.064285
96 244 244.062752
97 244 244.065180
98 244 244.066000
99 244 244.070883
100 244 244.074038
93 245 245.070800
94 245 245.067826
95 245 245.066454
96 245 245.065491
97 245 245.066361
98 245 245.068048
99 245 245.071249
100 245 245.075349
